universe_name,holdings_name,Last,Avg,vs Avg,Z Score,Percentile,universe_cusip,holdings_cusip
SLFCN 5  07/04/35,TOUCN 4.856 05/30/27,26.438730330000006,27.03224743659459,-0.5935171065945859,-0.22797714402600872,53.783783783783775,86682ZAT3,89156VAC0
GRTCN 6.074 04/12/29,NACN 5.023 02/01/29,36.78667674,37.503496762162165,-0.7168200221621674,-0.2319984798054042,47.83783783783784,387427AM9,63306AHT6
BCECN 4.55 02/09/30,TD 4.002 10/31/30,13.209285910000006,13.568752061783789,-0.35946615178378316,-0.2320538930576589,42.972972972972975,07813ZCL6,89116CST5
SRUUCN 3.834 12/21/27,TD 4.002 10/31/30,13.315028830000003,14.199909928324322,-0.8848810983243194,-0.232912946626242,44.054054054054056,83179XAH1,89116CST5
SRUUCN 3.834 12/21/27,BNS 3.836 09/26/30,13.73848271,14.720701598486487,-0.9822188884864875,-0.23422903324955152,42.432432432432435,83179XAH1,06418MM43
DIRUCN 5.383 03/22/28,CVECN 3  02/07/28,8.703570720000002,9.592635826108108,-0.8890651061081059,-0.2372324009296961,53.783783783783775,26153WAJ8,15135UAT6
RY 4.829 08/08/34,CRTUCN 5.828 06/14/28,5.981022440000004,6.698855199567568,-0.717832759567564,-0.23811838067303603,37.027027027027025,7800867G3,126462AJ9
CVECN 3  02/07/28,PLD 5  01/15/31,0.39298860000000957,1.6234992732432432,-1.2305106732432336,-0.23866603599443914,33.24324324324324,15135UAT6,74340XCD1
NACN 5.426 08/16/32,RY 4.829 08/08/34,-27.02485073000001,-26.765530505189187,-0.25932022481082484,-0.2416612276204112,35.4054054054054,63306AHF6,7800867G3
WFC 5.083 04/26/28,RY 3.626 12/10/28,2.891995610000002,3.269888751405406,-0.37789314140540364,-0.2425398024170209,44.5945945945946,949746TJ0,779926FY5
WFC 5.083 04/26/28,TOUCN 4.856 05/30/27,-2.125111199999999,-1.5507590101621627,-0.5743521898378365,-0.24460405082362036,43.513513513513516,949746TJ0,89156VAC0
NACN 5.426 08/16/32,CCDJ 5.279 05/15/34,-28.471103190000008,-28.024843050270274,-0.4462601397297341,-0.24616563878241035,37.567567567567565,63306AHF6,31430WU44
CSHU 3.65 05/06/28,CVECN 3  02/07/28,5.20716947999999,6.33809140854054,-1.13092192854055,-0.2471407980300839,56.486486486486484,16141AAG8,15135UAT6
DIRUCN 5.383 03/22/28,BIP 5.71 07/27/30,-3.0105315799999914,-2.5421595911891885,-0.4683719888108029,-0.2527507033876682,41.351351351351354,26153WAJ8,11291ZAM9
GRTCN 6.074 04/12/29,CSHU 4  03/06/32,-43.28390594000001,-42.779807963459454,-0.5040979765405567,-0.25466971296377333,47.83783783783784,387427AM9,16141AAF0
BCECN 4.55 02/09/30,TD 5.491 09/08/28,25.522140480000004,26.008357832054056,-0.4862173520540516,-0.2592936626789755,54.864864864864856,07813ZCL6,89117GX51
DIRUCN 5.383 03/22/28,SLFCN 5  07/04/35,1.48257701,1.9635038616216223,-0.4809268516216223,-0.2593566785707179,46.21621621621622,26153WAJ8,86682ZAT3
CM 4.2 04/07/32,CSHU 3.65 05/06/28,-18.021058159999995,-17.4478704387027,-0.5731877212972947,-0.26024515068371373,41.351351351351354,13607HR79,16141AAG8
CRTUCN 5.828 06/14/28,RLNCE 2.67 08/01/28,11.816715200000004,12.61988620664865,-0.803171006648645,-0.26488547888750047,46.21621621621622,126462AJ9,759480AM8
CSHU 3.65 05/06/28,BIP 5.71 07/27/30,-6.506932820000003,-5.796704008756756,-0.7102288112432467,-0.26614861007483936,41.351351351351354,16141AAG8,11291ZAM9
SRUUCN 3.834 12/21/27,TD 5.491 09/08/28,25.6278834,26.6395156985946,-1.0116322985945985,-0.26763694895585954,44.054054054054056,83179XAH1,89117GX51
BNS 3.934 05/03/32,RLNCE 2.67 08/01/28,-12.796177799999995,-12.212903863135136,-0.5832739368648596,-0.2687138855354226,42.972972972972975,06415GDJ6,759480AM8
RLNCE 2.67 08/01/28,BNS 4.68 02/01/29,21.4084169,21.909500949351354,-0.5010840493513555,-0.27117928279495923,43.513513513513516,759480AM8,064164QM1
